Country,Product,Flow,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Denmark,"Coal, peat and oil shale",Total final consumption (ktoe),423,375,456,478,493,550,595,628,654,582,477,450,332,490,560,514,523,501,447,434,490,435,455,433,410,388,386,356,320,306,277,235,246,276,266,277,271,225,136,150,158,128,145,142,133,139,145,134
Denmark,"Crude, NGL and feedstocks",Total final consumption (ktoe),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark,Oil products,Total final consumption (ktoe),12992,13160,13311,11438,11582,12743,12676,12500,12761,11318,10093,8765,8416,8531,8897,8811,8364,7784,7352,6855,7098,6854,6974,6902,6945,7112,6922,6816,6801,6580,6597,6568,6656,6758,6726,6770,6823,6578,6198,6198,5989,5469,5314,5173,5346,5450,5487,5517
Denmark,Natural gas,Total final consumption (ktoe),0,0,0,0,0,0,0,0,0,0,0,0,7,42,310,537,796,859,1008,1122,1259,1302,1476,1509,1661,1786,1731,1725,1748,1667,1777,1662,1742,1702,1707,1709,1638,1637,1583,1747,1591,1580,1580,1448,1484,1538,1558,1567
Denmark,Nuclear,Total final consumption (ktoe),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark,Renewables and waste,Total final consumption (ktoe),57,161,161,161,160,162,162,197,277,388,495,536,552,572,570,588,599,582,561,566,601,610,626,601,595,602,612,567,588,657,725,722,805,839,944,1037,1193,1220,1204,1290,1305,1306,1321,1296,1502,1550,1593,1626
Denmark,Electricity,Total final consumption (ktoe),1195,1305,1384,1316,1363,1520,1609,1757,1850,1860,1877,1913,1926,2027,2157,2263,2349,2386,2408,2439,2516,2558,2594,2645,2656,2726,2742,2756,2767,2791,2800,2796,2783,2835,2877,2905,2878,2848,2704,2756,2722,2681,2675,2646,2649,2674,2690,2673
Denmark,Heat,Total final consumption (ktoe),0,0,0,0,0,472,472,514,564,589,602,645,1456,1505,1739,1787,1887,1816,1744,1758,1999,1999,2123,2131,2241,2478,2335,2398,2324,2254,2434,2406,2473,2461,2423,2406,2345,2397,2451,2840,2506,2573,2548,2315,2464,2552,2567,2549
Denmark,Total,Total final consumption (ktoe),14667,15001,15312,13393,13597,15447,15514,15596,16105,14736,13544,12308,12690,13166,14233,14500,14517,13927,13521,13174,13963,13758,14247,14220,14508,15093,14728,14619,14549,14255,14609,14388,14706,14871,14944,15105,15149,14906,14275,14982,14271,13737,13582,13020,13579,13903,14041,14066
Estonia,"Coal, peat and oil shale",Total final consumption (ktoe),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,521,296,202,141,151,278,306,238,198,105,150,165,130,116,132,140,110,181,190,115,98,126,116,107,105,64,83,92,102
Estonia,"Crude, NGL and feedstocks",Total final consumption (ktoe),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,Oil products,Total final consumption (ktoe),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1852,1705,947,1013,960,861,943,906,889,788,789,950,977,960,970,1016,1058,1096,1055,953,985,1001,1012,1006,1025,1040,1029,1060,1052
